"state","lga","code_case_management","code_smc","code_pmc","code_iptp","code_vaccine","code_vaccine_priority","code_vaccine_1","code_vaccine_1_priority","code_vaccine_2","code_vaccine_3","code_vaccine_4","code_vaccine_5","code_urban_nets","code_nets","code_irs","code_lsm","code_intervention_counts","code_intervention_mix","itn_campaign_eligable","itn_routine_eligable","smc_eligable","pmc_eligable"
"Kogi","Mopa-Muro","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kogi","Ofu","X",NA,"X","X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kogi","Ogori/Mangongo","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kogi","Okehi","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kogi","Okene","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kogi","Olamabolo","X",NA,"X","X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kogi","Omala","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kogi","Yagba East","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kogi","Yagba West","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Asa","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Baruten","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Edu","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Ekiti","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kwara","Ifelodun1","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Ilorin East","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,6,"CM+IPTp+LLIN-Urban+SMC",0,1,1,0
"Kwara","Ilorin South","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,6,"CM+IPTp+LLIN-Urban+SMC",0,1,1,0
"Kwara","Ilorin West","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,6,"CM+IPTp+LLIN-Urban+SMC",0,1,1,0
"Kwara","Irepodun1","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kwara","Isin","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kwara","Kaiama","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Moro","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Offa","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kwara","Oke-Ero","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Kwara","Oyun","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",0,1,0,1
"Kwara","Pategi","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",0,1,1,0
"Nasarawa","Akwanga","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Awe","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Doma","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Karu","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Keana","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Keffi","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Kokona","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Lafia","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Nasarawa2","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Nasarawa-Eggon","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Obi2","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Toto","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Nasarawa","Wamba","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Agaie","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Agwara","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Bida","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Borgu","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Bosso","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Chanchaga","X","X",NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Edati","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Gbako","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Gurara","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Katcha","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X","X",NA,7,"CM+IPTp+LLIN+SMC+IRS",1,0,1,0
"Niger","Kontagora","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Lapai","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Lavun","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X","X",NA,7,"CM+IPTp+LLIN+SMC+IRS",1,0,1,0
"Niger","Magama","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Mariga","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Mashegu","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Mokwa","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Muya","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Paikoro","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
"Niger","Rafi","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",1,0,1,0
