"state","lga","code_cm_public","code_iptp","code_smc","code_pmc","code_vacc","code_irs","code_lsm","code_itn_campaign","code_itn_routine","code_itn_urban","code_cm_private"
"Kogi","Lokoja",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Mopa Muro",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Ofu",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Ogori/Mangongo",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Okehi",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Okene",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Olamabolo",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Omala",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Yagba East",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Yagba West",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Asa",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Baruten",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Edu",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Ekiti",1,1,0,1,1,0,1,0,1,0,1
"Kwara","Ifelodun",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Ilorin East",1,1,1,0,1,0,1,0,1,1,1
"Kwara","Ilorin South",1,1,1,0,1,0,1,0,1,1,1
"Kwara","Ilorin West",1,1,1,0,1,0,1,0,1,1,1
"Kwara","Irepodun",1,1,0,1,1,0,1,0,1,0,1
"Kwara","Isin",1,1,0,1,1,0,1,0,1,0,1
"Kwara","Kaiama",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Moro",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Offa",1,1,0,1,1,0,1,0,1,0,1
"Kwara","Oke Ero",1,1,1,0,1,0,1,0,1,0,1
"Kwara","Oyun",1,1,0,1,1,0,1,0,1,0,1
"Kwara","Pategi",1,1,1,0,1,0,1,0,1,0,1
"Nasarawa","Akwanga",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Awe",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Doma",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Karu",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Keana",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Keffi",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Kokona",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Lafia",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Nasarawa",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Nasarawa Eggon",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Obi",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Toto",1,1,1,0,1,0,1,1,0,0,1
"Nasarawa","Wamba",1,1,1,0,1,0,1,1,0,0,1
"Niger","Agaie",1,1,1,0,1,0,1,1,0,0,1
"Niger","Agwara",1,1,1,0,1,0,1,1,0,0,1
"Niger","Bida",1,1,1,0,1,0,1,1,0,0,1
"Niger","Borgu",1,1,1,0,1,0,1,1,0,0,1
"Niger","Bosso",1,1,1,0,1,0,1,1,0,0,1
"Niger","Chanchaga",1,1,1,0,1,0,1,1,0,0,1
"Niger","Edati",1,1,1,0,1,0,1,1,0,0,1
"Niger","Gbako",1,1,1,0,1,0,1,1,0,0,1
"Niger","Gurara",1,1,1,0,1,0,1,1,0,0,1
"Niger","Katcha",1,1,1,0,1,0,1,1,0,0,1
"Niger","Kontagora",1,1,1,0,1,0,1,1,0,0,1
"Niger","Lapai",1,1,1,0,1,0,1,1,0,0,1
"Niger","Lavun",1,1,1,0,1,0,1,1,0,0,1
"Niger","Magama",1,1,1,0,1,0,1,1,0,0,1
"Niger","Mariga",1,1,1,0,1,0,1,1,0,0,1
"Niger","Mashegu",1,1,1,0,1,0,1,1,0,0,1
"Niger","Mokwa",1,1,1,0,1,0,1,1,0,0,1
"Niger","Muya",1,1,1,0,1,0,1,1,0,0,1
"Niger","Paikoro",1,1,1,0,1,0,1,1,0,0,1
"Niger","Rafi",1,1,1,0,1,0,1,1,0,0,1
"Niger","Rijau",1,1,1,0,1,0,1,1,0,0,1
"Niger","Shiroro",1,1,1,0,1,0,1,1,0,0,1
"Niger","Suleja",1,1,1,0,1,0,1,1,0,0,1
"Niger","Tafa",1,1,1,0,1,0,1,1,0,0,1
"Niger","Wushishi",1,1,1,0,1,0,1,1,0,0,1
"Plateau","Barikin Ladi",1,1,1,0,1,0,1,0,1,0,1
"Plateau","Bassa",1,1,1,0,1,0,1,0,1,0,1
"Plateau","Bokkos",1,1,1,0,1,0,1,0,1,0,1
"Plateau","Jos East",1,1,1,0,1,0,1,0,1,1,1
