"state","lga","itn_campaign_net_quantity","itn_campaign_bale_quantity","itn_routine_net_quantity","intervention","total_cost","target_value","target"
"Rivers","Etche",260888.94002263,5217.7788004526,22981.8916204559,"iptp",25097392.274797,23631.5526437024,"Population"
"Rivers","Etche",260888.94002263,5217.7788004526,22981.8916204559,"cm_private",NA,472631.052874048,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"vacc",344607225.465951,14148.3846046454,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"cm_public",211438402.044234,442137.01889517,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"itn_campaign",1907076645.98048,442137.01889517,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"itn_routine",161349929.692559,74721.1561932837,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"smc",214115809.323862,49983.5899860989,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"pmc",185060870.628762,35370.9615116136,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"iptp",23478114.9798435,22106.8509447585,"Population"
"Rivers","Gokana",244056.452708506,4881.12905417011,21499.1058836502,"cm_private",NA,442137.01889517,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"vacc",278456044.391382,11432.4451735176,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"cm_public",170850454.415354,357263.911672424,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"itn_campaign",1540992120.73363,357263.911672424,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"itn_routine",130377020.169175,60377.6010726396,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"smc",173013903.656158,40388.6852145675,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"pmc",149536382.86961,28581.1129337939,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"iptp",18971230.2700955,17863.1955836212,"Population"
"Rivers","Ikwerre",197207.108288324,3944.14216576649,17372.1139312101,"cm_private",NA,357263.911672424,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"vacc",431728462.114546,17725.2822209679,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"cm_public",264892809.554666,553915.069405246,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"itn_campaign",2389210691.65181,553915.069405246,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"itn_routine",202141312.952074,93611.6467294865,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"smc",268247100.59057,62620.098596263,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"pmc",231846691.45026,44313.2055524197,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"iptp",29413691.0794339,27695.7534702623,"Population"
"Rivers","Khana",305757.132209014,6115.14264418029,26934.362468564,"cm_private",NA,553915.069405246,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"vacc",681438374.659162,27977.5103264481,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"cm_public",418105687.81527,874297.197701504,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"itn_campaign",3771120028.69419,874297.197701504,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"itn_routine",319058991.558874,147756.226411554,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"smc",423400086.568701,98839.2982001551,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"pmc",365945835.069941,69943.7758161203,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"iptp",46426445.325669,43714.8598850752,"Population"
"Rivers","Obia/Akpor",482605.761483654,9652.11522967308,42513.0835552586,"cm_private",NA,874297.197701504,"Population"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"vacc",417535206.901033,17142.5560947784,"Population"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"cm_public",256184346.758817,535704.877961825,"Population"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"itn_campaign",2310664382.8461,535704.877961825,"Population"
