state,lga,pop_2025_projected,pop_number_children_u5,prev_u5_dhs_2021,percentage_urban_pop,chemoprevention_split,code_cm_public,code_iptp,code_smc,code_pmc,code_vacc,code_irs,code_lsm,code_itn_campaign,code_itn_routine,code_itn_urban,code_cm_private
Adamawa,Yola South,337118,59333,27.9,68,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Alkaleri,618503,123701,59.6,15,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Bauchi,930211,186042,59.6,65,SMC,1,1,1,0,1,1,1,0,1,1,1
Bauchi,Bogoro,157900,31580,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Damban,283007,56601,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Darazo,470910,94182,59.6,14,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Dass,169779,33956,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Gamawa,535844,107169,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Ganjuwa,524653,104931,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Giade,293953,58791,59.6,27,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Itas/Gadau,430556,86111,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Jama'are,221342,44268,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Katagum,552064,110413,59.6,45,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Kirfi,274385,54877,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Misau,492509,98502,59.6,23,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Ningi,727237,145447,59.6,12,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Shira,440866,88173,59.6,1,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Tafawa Balewa,416959,83392,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Toro,651881,130376,59.6,7,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Warji,216634,43327,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Bauchi,Zaki,357410,71482,59.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Abadam,191318,36542,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Askira/Uba,274006,52335,18.8,22,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Bama,516452,98642,18.8,42,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Bayo,151192,28878,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Biu,336043,64184,18.8,36,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Chibok,126825,24224,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Damboa,445865,85160,18.8,37,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Dikwa,200834,38359,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Gubio,289250,55247,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Guzamala,183529,35054,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Gwoza,528782,100997,18.8,30,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Hawul,230834,44089,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Jere,399800,76362,18.8,90,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Kaga,172067,32865,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Kala/Balge,116311,22215,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Konduga,300790,57451,18.8,36,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Kukawa,388780,74257,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
