"state","lga","pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","full_cost","cost_per_person"
"Kwara","Irepodun",256903.988535406,44701.2940051606,12845.1994267703,NA,1,11,"USD",642950.135143959,2.50268646590261
"Kwara","Isin",103533.383078407,18014.8086556429,5176.66915392037,NA,1,11,"Naira",434106995.278914,4192.91809435185
"Kwara","Isin",103533.383078407,18014.8086556429,5176.66915392037,NA,1,11,"USD",271316.872049321,2.6205738089699
"Kwara","Kaiama",215862.082050885,37560.002276854,10793.1041025443,NA,1,10,"Naira",947284311.907835,4388.37753674836
"Kwara","Kaiama",215862.082050885,37560.002276854,10793.1041025443,NA,1,10,"USD",592052.694942397,2.74273596046773
"Kwara","Moro",189230.70798018,32926.1431885512,9461.53539900898,NA,1,15,"Naira",847467740.103094,4478.48950706171
"Kwara","Moro",189230.70798018,32926.1431885512,9461.53539900898,NA,1,15,"USD",529667.337564433,2.79905594191356
"Kwara","Offa",154871.013590916,26947.5563648194,7743.55067954582,NA,1,12,"Naira",630829780.59098,4073.25919785923
"Kwara","Offa",154871.013590916,26947.5563648194,7743.55067954582,NA,1,12,"USD",394268.612869362,2.54578699866201
"Kwara","Oke Ero",99162.7046279798,17254.3106052685,4958.13523139899,NA,1,10,"Naira",455705958.32889,4595.53780868042
"Kwara","Oke Ero",99162.7046279798,17254.3106052685,4958.13523139899,NA,1,10,"USD",284816.223955556,2.87221113042526
"Kwara","Oyun",164407.830488524,28606.9625050032,8220.3915244262,NA,1,11,"Naira",665641537.314959,4048.72161707299
"Kwara","Oyun",164407.830488524,28606.9625050032,8220.3915244262,NA,1,11,"USD",416025.960821849,2.53045101067062
"Kwara","Pategi",192950.397286656,33573.3691278782,9647.51986433282,NA,1,10,"Naira",854171905.156792,4426.89891893716
"Kwara","Pategi",192950.397286656,33573.3691278782,9647.51986433282,NA,1,10,"USD",533857.440722995,2.76681182433572
